SKU,Price,Date
2,54.99,15-06-2009
2,55.5,15-06-2009
3,102.24,21-12-2009
1,116.43,15-06-2009
3,115.98,15-06-2009
1,128.65,15-06-2009
2,53.49,15-06-2009
2,49.85,21-12-2009
2,49.85,21-12-2009
1,90.47,14-06-2009
2,57.96,15-06-2009
2,55.64,15-06-2009
3,109.58,15-06-2009
1,90.47,15-06-2009
3,99.9,22-12-2009
2,49.85,22-12-2009
2,49.75,22-12-2009
1,171.99,22-12-2009
1,159.95,22-12-2009
2,49.85,22-12-2009
3,98.55,22-12-2009
2,49.85,22-12-2009
2,49.85,22-12-2009
1,128.65,16-06-2009
3,115.98,16-06-2009
1,116.43,16-06-2009
2,54.99,16-06-2009
1,142.56,16-06-2009
2,57.96,16-06-2009
2,55.64,16-06-2009
3,99.9,23-12-2009
2,53.49,16-06-2009
2,49.85,23-12-2009
1,171.99,23-12-2009
2,49.85,23-12-2009
2,55.5,16-06-2009
1,159.95,23-12-2009
3,109.58,16-06-2009
2,49.85,22-12-2009
2,49.85,23-12-2009
2,49.85,23-12-2009
1,142.56,17-06-2009
3,98.55,23-12-2009
2,49.75,23-12-2009
2,54.99,17-06-2009
1,90.47,16-06-2009
2,57.96,17-06-2009
2,55.64,17-06-2009
1,116.43,17-06-2009
3,115.98,17-06-2009
1,128.65,17-06-2009
2,53.49,17-06-2009
2,55.5,17-06-2009
3,109.58,17-06-2009
1,90.47,17-06-2009
2,49.85,23-12-2009
2,49.85,24-12-2009
2,49.75,24-12-2009
1,159.95,24-12-2009
3,82.5,24-12-2009
2,48.98,24-12-2009
2,49.85,24-12-2009
2,54.99,18-06-2009
3,102.24,24-12-2009
1,128.65,18-06-2009
3,115.98,18-06-2009
1,116.43,18-06-2009
2,54.99,18-06-2009
1,142.56,18-06-2009
2,57.96,18-06-2009
2,55.64,18-06-2009
3,109.58,18-06-2009
1,90.47,18-06-2009
2,55.5,18-06-2009
2,49.85,24-12-2009
3,82.5,25-12-2009
2,48.98,25-12-2009
2,49.85,25-12-2009
1,159.95,25-12-2009
2,49.85,25-12-2009
2,49.75,25-12-2009
3,102.24,25-12-2009
3,115.98,19-06-2009
1,167.5,19-06-2009
2,57.96,19-06-2009
1,151.43,19-06-2009
2,54.99,19-06-2009
2,55.5,19-06-2009
2,55.64,19-06-2009
3,109.58,19-06-2009
2,49.85,25-12-2009
2,54.99,19-06-2009
3,115.98,20-06-2009
1,120.03,20-06-2009
2,54.99,20-06-2009
1,167.5,20-06-2009
2,57.96,20-06-2009
2,55.64,20-06-2009
3,109.58,20-06-2009
2,58,20-06-2009
2,54.99,20-06-2009
1,166.74,27-12-2009
2,55.5,20-06-2009
1,159.95,27-12-2009
3,82.5,27-12-2009
2,48.94,27-12-2009
2,49.85,27-12-2009
2,49.85,27-12-2009
2,49.85,27-12-2009
3,102.24,27-12-2009
2,49.85,27-12-2009
2,49.75,27-12-2009
1,167.5,21-06-2009
2,54.75,21-06-2009
2,54.99,21-06-2009
3,115.98,21-06-2009
1,120.03,21-06-2009
2,54.99,21-06-2009
2,55.5,21-06-2009
2,57.96,21-06-2009
2,55.64,21-06-2009
3,109.58,21-06-2009
1,159.95,28-12-2009
1,166.74,28-12-2009
2,49.85,28-12-2009
3,102.24,28-12-2009
2,49.85,28-12-2009
2,49.75,28-12-2009
3,82.5,28-12-2009
2,48.94,28-12-2009
2,49.85,28-12-2009
1,167.5,22-06-2009
2,49.85,28-12-2009
2,57.96,22-06-2009
2,54.75,22-06-2009
2,54.99,22-06-2009
3,115.98,22-06-2009
1,120.03,22-06-2009
2,54.75,22-06-2009
2,55.5,22-06-2009
2,55.64,22-06-2009
3,109.58,22-06-2009
2,48.49,29-12-2009
3,379.8,29-12-2009
1,178.77,29-12-2009
2,49.85,29-12-2009
2,49.75,29-12-2009
2,54.75,23-06-2009
1,171.99,29-12-2009
2,49.85,29-12-2009
3,102.24,29-12-2009
3,115.98,23-06-2009
2,49.85,29-12-2009
1,167.5,23-06-2009
2,49.85,29-12-2009
2,57.96,23-06-2009
2,55.64,23-06-2009
1,120.03,23-06-2009
2,54.75,23-06-2009
2,55.5,23-06-2009
2,58,23-06-2009
2,54.99,23-06-2009
3,109.58,23-06-2009
1,162.59,30-12-2009
2,49.85,30-12-2009
1,158.93,30-12-2009
2,49.85,30-12-2009
1,159,30-12-2009
1,167.5,24-06-2009
2,49.85,30-12-2009
2,55.5,24-06-2009
3,115.98,24-06-2009
2,49.75,30-12-2009
3,102.24,30-12-2009
2,54.99,24-06-2009
1,120.03,24-06-2009
2,57.96,24-06-2009
2,55.64,24-06-2009
2,54.75,24-06-2009
2,58,24-06-2009
2,54.75,24-06-2009
3,115.98,25-06-2009
3,109.58,24-06-2009
2,55.59,25-06-2009
1,120.03,25-06-2009
2,54.75,25-06-2009
2,54.75,25-06-2009
2,54.75,25-06-2009
2,54.99,25-06-2009
1,167.5,25-06-2009
2,56.85,25-06-2009
1,159,31-12-2009
3,109.58,25-06-2009
1,162.59,31-12-2009
2,49.85,31-12-2009
1,158.93,31-12-2009
2,55.5,25-06-2009
2,49.85,31-12-2009
2,49.75,31-12-2009
2,49.85,31-12-2009
3,102.24,31-12-2009
2,55.5,26-06-2009
1,167.5,26-06-2009
3,109.58,26-06-2009
3,115.98,26-06-2009
2,55.59,26-06-2009
1,120.03,26-06-2009
2,54.75,26-06-2009
2,54.75,26-06-2009
2,54.75,26-06-2009
2,54.99,26-06-2009
2,56.85,26-06-2009
3,109.58,26-06-2009
1,159,01-01-2010
1,166.42,01-01-2010
2,53.14,01-01-2010
2,53.14,01-01-2010
2,53.14,01-01-2010
2,53.15,01-01-2010
1,139.3,26-06-2009
1,167.5,27-06-2009
2,54.99,27-06-2009
3,102.24,01-01-2010
1,152,01-01-2010
3,115.98,27-06-2009
2,55.59,27-06-2009
1,120.03,27-06-2009
2,54.75,27-06-2009
2,54.75,27-06-2009
2,55.5,27-06-2009
3,109.58,27-06-2009
2,56.85,27-06-2009
3,109.58,27-06-2009
1,139.3,27-06-2009
1,159,02-01-2010
1,184.8,02-01-2010
2,54.75,27-06-2009
2,54.75,28-06-2009
1,164.84,02-01-2010
2,53.43,02-01-2010
2,53.14,02-01-2010
3,102.24,02-01-2010
1,152,02-01-2010
2,53.13,02-01-2010
2,55.59,28-06-2009
1,120.03,28-06-2009
2,54.75,28-06-2009
2,54.75,28-06-2009
1,167.5,28-06-2009
2,56.85,28-06-2009
2,54.99,28-06-2009
2,55.5,28-06-2009
1,139.3,28-06-2009
2,53.14,02-01-2010
1,156.34,03-01-2010
2,53.02,03-01-2010
1,164.84,03-01-2010
2,53.43,03-01-2010
2,53.02,03-01-2010
3,102.24,03-01-2010
1,152,03-01-2010
2,53.01,03-01-2010
2,53.06,03-01-2010
1,167.5,29-06-2009
3,109.58,29-06-2009
2,54.75,29-06-2009
3,115.98,29-06-2009
2,55.59,29-06-2009
1,120.03,29-06-2009
2,54.75,29-06-2009
2,54.75,29-06-2009
2,56.85,29-06-2009
3,109.58,29-06-2009
1,139.3,29-06-2009
1,164.09,04-01-2010
2,53.43,04-01-2010
2,52.99,04-01-2010
2,54.99,29-06-2009
2,55.5,29-06-2009
2,52.99,04-01-2010
1,183.57,04-01-2010
2,52.99,04-01-2010
3,94.94,04-01-2010
1,152,04-01-2010
1,167.5,30-06-2009
3,109.58,30-06-2009
2,56.85,30-06-2009
3,109.58,30-06-2009
3,115.98,30-06-2009
2,55.59,30-06-2009
1,116.43,30-06-2009
2,54.75,30-06-2009
2,54.75,30-06-2009
2,54.75,30-06-2009
2,54.99,30-06-2009
2,55.5,30-06-2009
2,56,06-01-2010
1,186.82,06-01-2010
2,53.15,04-01-2010
1,139.3,30-06-2009
2,59.38,06-01-2010
1,167.5,01-07-2009
3,109.58,01-07-2009
1,183.57,06-01-2010
2,59.95,06-01-2010
2,54.99,01-07-2009
2,56,06-01-2010
2,54.75,01-07-2009
3,115.98,01-07-2009
2,55.59,01-07-2009
1,116.43,01-07-2009
2,54.75,01-07-2009
2,54.75,01-07-2009
2,55.5,01-07-2009
2,54.75,01-07-2009
2,59.31,07-01-2010
2,56,07-01-2010
1,187.22,07-01-2010
3,109.58,01-07-2009
1,183.84,06-01-2010
2,52.48,07-01-2010
2,59.38,07-01-2010
1,183.84,07-01-2010
2,55.5,02-07-2009
2,52.49,07-01-2010
1,139.3,01-07-2009
1,167.5,02-07-2009
3,109.58,02-07-2009
2,54.74,02-07-2009
3,109.58,02-07-2009
2,54.99,02-07-2009
3,115.98,02-07-2009
2,55.59,02-07-2009
1,116.43,02-07-2009
2,54.74,02-07-2009
2,54.75,02-07-2009
2,54.74,02-07-2009
1,139.3,02-07-2009
2,52.5,07-01-2010
1,183.57,07-01-2010
2,52.41,08-01-2010
2,56,08-01-2010
1,187.22,08-01-2010
2,52.48,08-01-2010
3,84.37,08-01-2010
1,183.57,08-01-2010
2,54.75,02-07-2009
2,54.99,03-07-2009
3,115.98,03-07-2009
2,55.59,03-07-2009
1,116.43,03-07-2009
2,54.74,03-07-2009
2,54.74,03-07-2009
1,167.5,03-07-2009
3,109.58,03-07-2009
2,54.74,03-07-2009
3,109.58,03-07-2009
1,139.3,03-07-2009
2,55.5,03-07-2009
2,57.95,08-01-2010
2,52.41,08-01-2010
2,52.42,08-01-2010
1,183.84,08-01-2010
3,84.37,09-01-2010
1,187.22,09-01-2010
2,52.48,09-01-2010
2,57.95,09-01-2010
2,54.75,03-07-2009
2,52.41,09-01-2010
2,56,09-01-2010
2,54.99,04-07-2009
1,183.84,09-01-2010
2,52.42,09-01-2010
1,167.5,04-07-2009
3,109.58,04-07-2009
3,115.98,04-07-2009
2,55.59,04-07-2009
1,116.43,04-07-2009
2,54.74,04-07-2009
2,54.74,04-07-2009
2,54.74,04-07-2009
3,109.58,04-07-2009
1,139.3,04-07-2009
1,183.57,09-01-2010
2,55.5,04-07-2009
